route_id,accuracy,precision,recall,f1,selection_rate
80,1.0,0.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0,0.0
Blue,0.9986559139784946,0.0,0.0,0.0,0.0
CR-Fitchburg,1.0,0.0,0.0,0.0,0.0
CR-Franklin,1.0,0.0,0.0,0.0,0.0
CR-Greenbush,0.9714285714285714,0.0,0.0,0.0,0.0
CR-Haverhill,1.0,0.0,0.0,0.0,0.0
CR-Kingston,1.0,0.0,0.0,0.0,0.0
CR-Lowell,1.0,0.0,0.0,0.0,0.0
CR-Needham,1.0,0.0,0.0,0.0,0.0
CR-NewBedford,1.0,0.0,0.0,0.0,0.0
CR-Newburyport,1.0,0.0,0.0,0.0,0.0
CR-Providence,0.9875,0.0,0.0,0.0,0.0
CR-Worcester,1.0,0.0,0.0,0.0,0.0
Green-B,1.0,0.0,0.0,0.0,0.0
Green-C,0.999054820415879,0.0,0.0,0.0,0.0
Green-D,1.0,0.0,0.0,0.0,0.0
Green-E,1.0,0.0,0.0,0.0,0.0
Mattapan,1.0,0.0,0.0,0.0,0.0
Orange,1.0,0.0,0.0,0.0,0.0
Red,0.999597261377366,0.0,0.0,0.0,0.0
