id,type,attributes.bearing,attributes.carriages,attributes.current_status,attributes.current_stop_sequence,attributes.direction_id,attributes.label,attributes.latitude,attributes.longitude,attributes.occupancy_status,attributes.revenue,attributes.speed,attributes.updated_at,links.self,relationships.route.data.id,relationships.route.data.type,relationships.stop.data,relationships.trip.data.id,relationships.trip.data.type,relationships.stop.data.id,relationships.stop.data.type
B-548636AE,vehicle,215.0,"[{'label': '0701', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0700', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0775', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0774', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0718', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0719', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,70.0,0.0,0701,42.36923,-71.03944,,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/B-548636AE,Blue,route,,ADDED-1583224072,trip,70045,stop
R-548637F4,vehicle,310.0,"[{'label': '1938', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1939', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1933', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1932', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 9}, {'label': '1935', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1934', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 4}]",IN_TRANSIT_TO,110.0,1.0,1938,42.32455,-71.05451,,REVENUE,,2025-10-28T12:45:04-04:00,/vehicles/R-548637F4,Red,route,,70954034,trip,70084,stop
R-54863697,vehicle,310.0,"[{'label': '1942', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 17}, {'label': '1943', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 24}, {'label': '1930', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 17}, {'label': '1931', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 15}, {'label': '1945', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 21}, {'label': '1944', 'occupancy_status': 'STANDING_ROOM_ONLY', 'occupancy_percentage': 18}]",IN_TRANSIT_TO,160.0,1.0,1942,42.35725,-71.06404,,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/R-54863697,Red,route,,70954033,trip,70074,stop
B-548636A0,vehicle,45.0,"[{'label': '0713', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0712', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0766', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0767', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0739', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0738', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,50.0,1.0,0713,42.37435,-71.03017,,REVENUE,,2025-10-28T12:44:35-04:00,/vehicles/B-548636A0,Blue,route,,72120508,trip,70048,stop
y3202,vehicle,2.0,[],STOPPED_AT,8.0,1.0,3202,42.294461,-71.235297,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y3202,59,route,,71374022,trip,81441,stop
y1739,vehicle,225.0,[],STOPPED_AT,1.0,0.0,1739,42.33669,-71.08871,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:34-04:00,/vehicles/y1739,23,route,,71466615,trip,17862,stop
G-10031,vehicle,90.0,"[{'label': '3867', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3628', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,100.0,1.0,3867-3628,42.35065,-71.12993,,REVENUE,5.5,2025-10-28T12:45:10-04:00,/vehicles/G-10031,Green-B,route,,ADDED-1583224034,trip,70134,stop
y1886,vehicle,180.0,[],STOPPED_AT,12.0,0.0,1886,42.34238,-71.09926,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:41-04:00,/vehicles/y1886,55,route,,71467500,trip,1925,stop
G-10123,vehicle,30.0,"[{'label': '3842', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3600', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,610.0,1.0,3842-3600,42.35614,-71.06243,,REVENUE,,2025-10-28T12:44:45-04:00,/vehicles/G-10123,Green-E,route,,ADDED-1583224014,trip,70201,stop
y1286,vehicle,203.0,[],STOPPED_AT,4.0,0.0,1286,42.346243,-71.064723,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y1286,749,route,,72040165,trip,49003,stop
y1260,vehicle,196.0,[],STOPPED_AT,12.0,0.0,1260,42.315159,-71.083328,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y1260,28,route,,72040726,trip,407,stop
y1846,vehicle,112.0,[],IN_TRANSIT_TO,2.0,1.0,1846,42.371088,-71.116231,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y1846,1,route,,71468299,trip,66,stop
y3114,vehicle,,[],STOPPED_AT,10.0,0.0,3114,42.392638,-71.03407,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:43:50-04:00,/vehicles/y3114,116,route,,71825796,trip,5615,stop
y1879,vehicle,,[],STOPPED_AT,14.0,1.0,1879,42.342527,-71.084263,FULL,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y1879,1,route,,71468274,trip,82,stop
y2006,vehicle,105.0,[],STOPPED_AT,1.0,0.0,2006,42.419141,-71.117646,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y2006,67,route,,71694776,trip,14121,stop
y1771,vehicle,225.0,[],STOPPED_AT,11.0,0.0,1771,42.318199,-71.082,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:46-04:00,/vehicles/y1771,23,route,,71466613,trip,406,stop
y2038,vehicle,315.0,[],STOPPED_AT,1.0,0.0,2038,42.372463,-71.123076,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:00-04:00,/vehicles/y2038,109,route,,71994406,trip,76125,stop
y1265,vehicle,171.0,[],STOPPED_AT,14.0,0.0,1265,42.328731,-71.110641,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1265,39,route,,72039642,trip,22365,stop
ynk224,vehicle,,[],IN_TRANSIT_TO,,,224,42.376206,-71.241551,,REVENUE,,2025-10-28T12:41:44-04:00,/vehicles/ynk224,Shuttle-Generic,route,,BL-79002756,trip,,
ynk230,vehicle,,[],IN_TRANSIT_TO,,,230,42.330826,-71.254689,,REVENUE,,2025-10-28T12:45:00-04:00,/vehicles/ynk230,Shuttle-Generic,route,,BL-40770992,trip,,
G-10039,vehicle,45.0,"[{'label': '3662', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3805', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,290.0,1.0,3662-3805,42.3442,-71.11351,,REVENUE,12.4,2025-10-28T12:45:10-04:00,/vehicles/G-10039,Green-C,route,,ADDED-1583224083,trip,70214,stop
y1734,vehicle,341.0,[],STOPPED_AT,22.0,1.0,1734,42.324248,-71.082768,FULL,REVENUE,,2025-10-28T12:45:01-04:00,/vehicles/y1734,23,route,,71465390,trip,395,stop
y2086,vehicle,37.0,[],STOPPED_AT,27.0,0.0,2086,42.416734,-71.04684,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y2086,109,route,,71994841,trip,5519,stop
y3330,vehicle,233.0,[],STOPPED_AT,6.0,1.0,3330,42.416524,-71.002157,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y3330,116,route,,71825741,trip,35704,stop
y2080,vehicle,31.0,[],IN_TRANSIT_TO,19.0,0.0,2080,42.398885,-71.063128,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y2080,109,route,,71994832,trip,5508,stop
y1837,vehicle,163.0,[],STOPPED_AT,1.0,1.0,1837,42.321665,-71.056828,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y1837,19,route,,71467439,trip,323,stop
y1786,vehicle,143.0,[],IN_TRANSIT_TO,10.0,1.0,1786,42.359234,-71.093763,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y1786,1,route,,71468263,trip,75,stop
y1926,vehicle,,[],STOPPED_AT,1.0,0.0,1926,42.374056,-71.118993,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:55-04:00,/vehicles/y1926,77,route,,71694936,trip,76121,stop
y2103,vehicle,242.0,[],IN_TRANSIT_TO,5.0,1.0,2103,42.409751,-71.000101,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:05-04:00,/vehicles/y2103,110,route,,71995122,trip,4733,stop
y1631,vehicle,45.0,[],STOPPED_AT,1.0,0.0,1631,42.29981,-71.11415,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:51-04:00,/vehicles/y1631,38,route,,72093822,trip,10642,stop
O-54863695,vehicle,220.0,"[{'label': '1492', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 1}, {'label': '1493', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1480', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1481', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 9}, {'label': '1533', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 17}, {'label': '1532', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 17}]",INCOMING_AT,150.0,0.0,1492,42.33234,-71.09452,,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/O-54863695,Orange,route,,70525411,trip,70008,stop
y1409,vehicle,279.0,[],IN_TRANSIT_TO,25.0,0.0,1409,42.459273,-71.027593,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y1409,430,route,,71997542,trip,6206,stop
y1712,vehicle,270.0,[],STOPPED_AT,1.0,1.0,1712,42.30296,-71.11001,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:44-04:00,/vehicles/y1712,40,route,,72093636,trip,1618,stop
y1682,vehicle,225.0,[],IN_TRANSIT_TO,,,1682,42.25477,-71.12544,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:42-04:00,/vehicles/y1682,Shuttle-Generic-CommuterRail,route,,BL-105455367,trip,,
y3257,vehicle,0.0,[],STOPPED_AT,1.0,0.0,3257,42.34088,-71.06401,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:41-04:00,/vehicles/y3257,23,route,,71375159,trip,17862,stop
y0775,vehicle,,[],IN_TRANSIT_TO,22.0,1.0,0775,42.199498,-71.025509,,REVENUE,,2025-10-28T12:45:03-04:00,/vehicles/y0775,238,route,,71987674,trip,4083,stop
1862,vehicle,177.0,[],IN_TRANSIT_TO,40.0,0.0,1862,42.16459274291992,-71.1539306640625,,REVENUE,10.7,2025-10-28T12:44:36-04:00,/vehicles/1862,CR-Providence,route,,Base-772769-839,trip,NEC-2139-01,stop
y1741,vehicle,0.0,[],STOPPED_AT,1.0,1.0,1741,42.28467,-71.06408,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:19-04:00,/vehicles/y1741,23,route,,71465389,trip,334,stop
y1983,vehicle,107.0,[],STOPPED_AT,4.0,1.0,1983,42.39338,-71.129628,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1983,83,route,,71694832,trip,2428,stop
