id,type,attributes.bearing,attributes.carriages,attributes.current_status,attributes.current_stop_sequence,attributes.direction_id,attributes.label,attributes.latitude,attributes.longitude,attributes.occupancy_status,attributes.revenue,attributes.speed,attributes.updated_at,links.self,relationships.route.data.id,relationships.route.data.type,relationships.stop.data,relationships.trip.data.id,relationships.trip.data.type,relationships.stop.data.id,relationships.stop.data.type
y3123,vehicle,,[],IN_TRANSIT_TO,18.0,0.0,3123,42.460367,-70.968242,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:59-04:00,/vehicles/y3123,450,route,,71825971,trip,4523,stop
y2050,vehicle,267.0,[],STOPPED_AT,1.0,0.0,2050,42.334952,-71.149277,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y2050,86,route,,71695785,trip,21917,stop
y0823,vehicle,225.0,[],STOPPED_AT,25.0,1.0,0823,42.253269,-70.996576,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y0823,216,route,,71987893,trip,32910,stop
G-10099,vehicle,90.0,"[{'label': '3260', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,1.0,1.0,3260,42.26756,-71.09225,,REVENUE,2.4,2025-10-28T12:44:00-04:00,/vehicles/G-10099,Mattapan,route,,ADDED-1583224129,trip,70276,stop
ynk254,vehicle,211.0,[],IN_TRANSIT_TO,,,254,42.379034,-71.025763,,REVENUE,,2025-10-28T12:45:12-04:00,/vehicles/ynk254,Shuttle-Generic,route,,BL-28734765,trip,,
y1424,vehicle,0.0,[],STOPPED_AT,1.0,1.0,1424,42.41385,-70.99212,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:21-04:00,/vehicles/y1424,116,route,,71825821,trip,15796,stop
y1968,vehicle,180.0,[],STOPPED_AT,1.0,1.0,1968,42.38457,-71.07615,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:43-04:00,/vehicles/y1968,91,route,,71993673,trip,29006,stop
1831,vehicle,,[],STOPPED_AT,0.0,1.0,1831,41.97772216796875,-70.7215347290039,,REVENUE,,2025-10-28T12:44:18-04:00,/vehicles/1831,CR-Kingston,route,,Base-774184-1026,trip,KB-0351-S,stop
y3315,vehicle,25.0,[],STOPPED_AT,20.0,0.0,3315,42.408006,-71.013609,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:04-04:00,/vehicles/y3315,116,route,,71825847,trip,5761,stop
y1220,vehicle,,[],IN_TRANSIT_TO,29.0,0.0,1220,42.277518,-71.09358,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1220,28,route,,72040727,trip,1716,stop
G-10097,vehicle,45.0,"[{'label': '3631', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3878', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,520.0,1.0,3631-3878,42.33967,-71.09061,,REVENUE,2.6,2025-10-28T12:45:08-04:00,/vehicles/G-10097,Green-E,route,,ADDED-1583224079,trip,70244,stop
O-548634BA,vehicle,300.0,"[{'label': '1444', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 3}, {'label': '1445', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1450', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 10}, {'label': '1451', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1527', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 4}, {'label': '1526', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 8}]",STOPPED_AT,140.0,1.0,1444,42.37384,-71.0703,,REVENUE,,2025-10-28T12:43:35-04:00,/vehicles/O-548634BA,Orange,route,,70525466,trip,70029,stop
y1307,vehicle,,[],STOPPED_AT,1.0,0.0,1307,42.352254,-71.055609,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:43:25-04:00,/vehicles/y1307,742,route,,72039790,trip,74611,stop
y3132,vehicle,331.0,[],IN_TRANSIT_TO,44.0,1.0,3132,42.376446,-71.118692,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y3132,109,route,,71994806,trip,22549,stop
y1317,vehicle,,[],STOPPED_AT,4.0,0.0,1317,42.347097,-71.037922,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:00-04:00,/vehicles/y1317,743,route,,72041101,trip,74624,stop
y1950,vehicle,135.0,[],STOPPED_AT,1.0,0.0,1950,42.3624,-71.05698,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:45-04:00,/vehicles/y1950,111,route,,71993892,trip,8309,stop
y1407,vehicle,33.0,[],IN_TRANSIT_TO,51.0,0.0,1407,42.480493,-71.15134,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y1407,134,route,,71996606,trip,9127,stop
ynk305,vehicle,,[],IN_TRANSIT_TO,,,305,42.337558,-71.036174,,REVENUE,,2025-10-28T12:44:10-04:00,/vehicles/ynk305,Shuttle-Generic,route,,BL-4918529,trip,,
ynk234,vehicle,,[],IN_TRANSIT_TO,,,234,42.329884,-71.190985,,REVENUE,,2025-10-28T12:44:55-04:00,/vehicles/ynk234,Shuttle-Generic,route,,BL-44123456,trip,,
y0796,vehicle,278.0,[],IN_TRANSIT_TO,35.0,1.0,0796,42.24843,-70.983401,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y0796,220,route,,71988221,trip,3631,stop
ynk247,vehicle,,[],IN_TRANSIT_TO,,,247,42.33719,-71.25279,,REVENUE,,2025-10-28T12:43:48-04:00,/vehicles/ynk247,Shuttle-Generic,route,,BL-99914110,trip,,
y1445,vehicle,,[],IN_TRANSIT_TO,18.0,1.0,1445,42.363045,-71.059746,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:51-04:00,/vehicles/y1445,93,route,,71997387,trip,30203,stop
y1899,vehicle,,[],IN_TRANSIT_TO,24.0,1.0,1899,42.322561,-71.098498,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:42-04:00,/vehicles/y1899,22,route,,71465387,trip,11531,stop
y1812,vehicle,,[],IN_TRANSIT_TO,10.0,1.0,1812,42.346115,-71.042089,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1812,7,route,,71465706,trip,890,stop
y1835,vehicle,316.0,[],STOPPED_AT,1.0,0.0,1835,42.354396,-71.057253,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y1835,16,route,,71465280,trip,13,stop
ynk311,vehicle,,[],IN_TRANSIT_TO,,,311,41.698397,-71.154399,,REVENUE,,2025-10-28T12:43:27-04:00,/vehicles/ynk311,Shuttle-Generic,route,,BL-93847199,trip,,
ynk251,vehicle,107.0,[],IN_TRANSIT_TO,,,251,42.366128,-71.023286,,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/ynk251,Shuttle-Generic,route,,BL-20916876,trip,,
y0842,vehicle,,[],IN_TRANSIT_TO,27.0,1.0,0842,42.386613,-71.004854,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:47-04:00,/vehicles/y0842,712,route,,71953873,trip,15879,stop
ynk235,vehicle,260.0,[],IN_TRANSIT_TO,,,235,42.321504,-71.207238,,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/ynk235,Shuttle-Generic,route,,BL-50688858,trip,,
ynk249,vehicle,253.0,[],IN_TRANSIT_TO,,,249,42.347908,-71.100556,,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/ynk249,Shuttle-Generic,route,,BL-61340587,trip,,
y3142,vehicle,270.0,[],STOPPED_AT,1.0,0.0,3142,42.37263,-71.12269,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:54-04:00,/vehicles/y3142,96,route,,71994331,trip,76122,stop
y1649,vehicle,200.0,[],STOPPED_AT,1.0,0.0,1649,42.328952,-71.083888,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y1649,42,route,,72093351,trip,64000,stop
y1687,vehicle,135.0,[],STOPPED_AT,1.0,1.0,1687,42.14474,-71.2546,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:51-04:00,/vehicles/y1687,34E,route,,72094598,trip,98618,stop
y1880,vehicle,,[],STOPPED_AT,12.0,0.0,1880,42.321109,-71.07216,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y1880,15,route,,71466610,trip,1499,stop
ynk248,vehicle,171.0,[],IN_TRANSIT_TO,,,248,42.353059,-71.18648,,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/ynk248,Shuttle-Generic,route,,BL-122160725,trip,,
y0811,vehicle,270.0,[],STOPPED_AT,43.0,1.0,0811,42.2801216,-71.0657332,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:46-04:00,/vehicles/y0811,215,route,,71988002,trip,533,stop
y0820,vehicle,57.0,[],IN_TRANSIT_TO,39.0,1.0,0820,42.244934,-71.001137,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y0820,236,route,,71987958,trip,3422,stop
y2042,vehicle,279.0,[],IN_TRANSIT_TO,18.0,0.0,2042,42.40683,-71.055821,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y2042,104,route,,71994950,trip,5510,stop
y2035,vehicle,315.0,[],IN_TRANSIT_TO,17.0,0.0,2035,42.405333,-71.141665,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y2035,77,route,,71694957,trip,2277,stop
y1640,vehicle,129.0,[],IN_TRANSIT_TO,34.0,1.0,1640,42.286345,-71.13006,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1640,35,route,,72093753,trip,795,stop
y1769,vehicle,,[],STOPPED_AT,7.0,0.0,1769,42.334885,-71.074898,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:49-04:00,/vehicles/y1769,1,route,,71468281,trip,58,stop
y2075,vehicle,225.0,[],STOPPED_AT,15.0,1.0,2075,42.35172,-71.15189,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:47-04:00,/vehicles/y2075,86,route,,71695853,trip,1083,stop
y1868,vehicle,253.0,[],STOPPED_AT,15.0,0.0,1868,42.317282,-71.064846,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y1868,16,route,,71467490,trip,2910,stop
y1838,vehicle,,[],IN_TRANSIT_TO,6.0,0.0,1838,42.350241,-71.071587,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:59-04:00,/vehicles/y1838,504,route,,71467211,trip,173,stop
G-10007,vehicle,20.0,"[{'label': '3830', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3683', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,590.0,1.0,3830-3683,42.35245,-71.06483,,REVENUE,,2025-10-28T12:44:41-04:00,/vehicles/G-10007,Green-C,route,,ADDED-1583224017,trip,70158,stop
ynk304,vehicle,165.0,[],IN_TRANSIT_TO,,,304,42.45817,-71.289799,,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/ynk304,Shuttle-Generic,route,,BL-35508111,trip,,
1824,vehicle,,[],STOPPED_AT,20.0,0.0,1824,42.39599609375,-71.17497253417969,,REVENUE,,2025-10-28T12:44:37-04:00,/vehicles/1824,CR-Fitchburg,route,,Base-772415-417,trip,FR-0064-01,stop
y1951,vehicle,320.0,[],IN_TRANSIT_TO,8.0,0.0,1951,42.410343,-71.119699,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y1951,94,route,,71993249,trip,2410,stop
y2068,vehicle,105.0,[],IN_TRANSIT_TO,10.0,1.0,2068,42.373864,-71.208358,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y2068,70,route,,71696145,trip,8679,stop
y3150,vehicle,191.0,[],STOPPED_AT,1.0,0.0,3150,42.385591,-71.07328,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:03-04:00,/vehicles/y3150,109,route,,71994788,trip,76125,stop
ynk232,vehicle,286.0,[],IN_TRANSIT_TO,,,232,42.367866,-71.020654,,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/ynk232,Shuttle-Generic,route,,BL-81250482,trip,,
1846,vehicle,11.0,[],IN_TRANSIT_TO,70.0,1.0,1846,42.23876953125,-71.00566101074219,,REVENUE,21.5,2025-10-28T12:44:27-04:00,/vehicles/1846,CR-Greenbush,route,,Base-774209-1074,trip,MM-0079-S,stop
y1780,vehicle,45.0,[],STOPPED_AT,1.0,1.0,1780,42.34113,-71.05826,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:44-04:00,/vehicles/y1780,16,route,,71466019,trip,875,stop
y1952,vehicle,,[],IN_TRANSIT_TO,28.0,1.0,1952,42.391053,-71.079723,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:49-04:00,/vehicles/y1952,90,route,,71995424,trip,28742,stop
y1311,vehicle,,[],STOPPED_AT,1.0,0.0,1311,42.352254,-71.055609,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:43:11-04:00,/vehicles/y1311,743,route,,72041089,trip,74611,stop
ynk222,vehicle,,[],IN_TRANSIT_TO,,,222,42.349203,-71.095714,,REVENUE,,2025-10-28T12:41:03-04:00,/vehicles/ynk222,Shuttle-Generic,route,,BL-117294302,trip,,
y2020,vehicle,310.0,[],STOPPED_AT,10.0,0.0,2020,42.411694,-71.045622,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y2020,110,route,,71995112,trip,5569,stop
y3229,vehicle,,[],STOPPED_AT,17.0,1.0,3229,42.349089,-71.1542,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y3229,57,route,,71374920,trip,918,stop
B-548636B5,vehicle,225.0,"[{'label': '0722', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0723', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0791', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0790', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0789', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '0788', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,40.0,0.0,0722,42.38928,-70.9987,,REVENUE,,2025-10-28T12:45:04-04:00,/vehicles/B-548636B5,Blue,route,,72120531,trip,70051,stop
O-54863694,vehicle,210.0,"[{'label': '1536', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 8}, {'label': '1537', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 6}, {'label': '1465', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1464', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1539', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 7}, {'label': '1538', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 13}]",INCOMING_AT,170.0,0.0,1536,42.31976,-71.10265,,REVENUE,,2025-10-28T12:44:52-04:00,/vehicles/O-54863694,Orange,route,,70525403,trip,70004,stop
y1615,vehicle,118.0,[],IN_TRANSIT_TO,14.0,0.0,1615,42.279209,-71.11725,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1615,30,route,,72093887,trip,16434,stop
y2104,vehicle,180.0,[],STOPPED_AT,1.0,1.0,2104,42.40599,-71.13244,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:19-04:00,/vehicles/y2104,88,route,,71694475,trip,2637,stop
y3356,vehicle,181.0,[],IN_TRANSIT_TO,38.0,1.0,3356,42.504529,-70.952167,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y3356,435,route,,71826406,trip,4945,stop
y1646,vehicle,42.0,[],IN_TRANSIT_TO,4.0,1.0,1646,42.275534,-71.167473,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1646,36,route,,72093518,trip,777,stop
y0801,vehicle,,[],STOPPED_AT,1.0,1.0,0801,42.215217,-70.922743,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y0801,222,route,,71988244,trip,3684,stop
y3311,vehicle,,[],STOPPED_AT,19.0,0.0,3311,42.406155,-71.014535,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y3311,116,route,,71825826,trip,5760,stop
y2055,vehicle,293.0,[],STOPPED_AT,6.0,1.0,2055,42.409471,-71.139077,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y2055,87,route,,71694474,trip,12651,stop
y1282,vehicle,180.0,[],STOPPED_AT,2.0,0.0,1282,42.35096,-71.05944,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:55-04:00,/vehicles/y1282,751,route,,72040588,trip,6555,stop
ynk250,vehicle,69.0,[],IN_TRANSIT_TO,,,250,42.321194,-71.17218,,REVENUE,,2025-10-28T12:45:13-04:00,/vehicles/ynk250,Shuttle-Generic,route,,BL-73227150,trip,,
y1788,vehicle,,[],STOPPED_AT,1.0,1.0,1788,42.300629,-71.113052,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:01-04:00,/vehicles/y1788,16,route,,71466014,trip,875,stop
y1962,vehicle,,[],STOPPED_AT,4.0,1.0,1962,42.431256,-71.030961,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:59-04:00,/vehicles/y1962,109,route,,71994430,trip,5475,stop
y1698,vehicle,192.0,[],STOPPED_AT,32.0,0.0,1698,42.297367,-71.185138,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1698,52,route,,72094734,trip,8545,stop
y0833,vehicle,180.0,[],IN_TRANSIT_TO,3.0,0.0,0833,42.246363,-71.000733,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:09-04:00,/vehicles/y0833,236,route,,71987935,trip,3327,stop
R-548636C8,vehicle,195.0,"[{'label': '1836', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1837', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1878', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1879', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1835', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1834', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,140.0,0.0,1836,42.31056,-71.05373,,REVENUE,,2025-10-28T12:44:23-04:00,/vehicles/R-548636C8,Red,route,,70954139,trip,70087,stop
y1853,vehicle,,[],IN_TRANSIT_TO,28.0,1.0,1853,42.333468,-71.073622,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:04-04:00,/vehicles/y1853,47,route,,71467693,trip,10014,stop
G-10129,vehicle,0.0,"[{'label': '3686', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3882', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,310.0,0.0,3686-3882,42.34027,-71.16688,,REVENUE,2.0,2025-10-28T12:44:57-04:00,/vehicles/G-10129,Green-B,route,,ADDED-1583223933,trip,70107,stop
y1221,vehicle,324.0,[],IN_TRANSIT_TO,23.0,1.0,1221,42.347889,-71.080753,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y1221,39,route,,72039598,trip,174,stop
y1209,vehicle,,[],STOPPED_AT,22.0,0.0,1209,42.309941,-71.115394,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:03-04:00,/vehicles/y1209,39,route,,72039675,trip,1939,stop
y1442,vehicle,0.0,[],STOPPED_AT,1.0,0.0,1442,42.35763,-71.05767,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:30-04:00,/vehicles/y1442,92,route,,71996909,trip,6548,stop
y3112,vehicle,45.0,[],STOPPED_AT,1.0,0.0,3112,42.46188,-70.94614,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:19-04:00,/vehicles/y3112,456,route,,71825927,trip,14748,stop
R-54862C8D,vehicle,190.0,"[{'label': '1807', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1806', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1852', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1853', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1840', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1841', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",INCOMING_AT,220.0,0.0,1807,42.21029,-71.00126,,REVENUE,,2025-10-28T12:44:18-04:00,/vehicles/R-54862C8D,Red,route,,70953878,trip,70105,stop
G-10080,vehicle,145.0,"[{'label': '3675', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3814', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",IN_TRANSIT_TO,9.0,0.0,3675-3814,42.37604,-71.08343,,REVENUE,,2025-10-28T12:42:08-04:00,/vehicles/G-10080,Green-E,route,,ADDED-1583224073,trip,70502,stop
y2040,vehicle,14.0,[],IN_TRANSIT_TO,31.0,0.0,2040,42.42635,-71.073431,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:06-04:00,/vehicles/y2040,104,route,,71994952,trip,53270,stop
y3253,vehicle,,[],STOPPED_AT,1.0,0.0,3253,42.32944,-71.083818,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:56-04:00,/vehicles/y3253,66,route,,71372958,trip,64000,stop
ynk338,vehicle,,[],IN_TRANSIT_TO,,,338,42.361132,-71.06322,,REVENUE,,2025-10-28T12:44:26-04:00,/vehicles/ynk338,Shuttle-Generic,route,,BL-39059700,trip,,
y1795,vehicle,45.0,[],STOPPED_AT,1.0,0.0,1795,42.33734,-71.08881,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:49-04:00,/vehicles/y1795,22,route,,71466617,trip,17862,stop
y1931,vehicle,45.0,[],STOPPED_AT,1.0,0.0,1931,42.37289,-71.12223,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:43-04:00,/vehicles/y1931,75,route,,71695639,trip,76126,stop
1815,vehicle,,[],IN_TRANSIT_TO,50.0,1.0,1815,41.933563232421875,-71.2900161743164,,REVENUE,18.8,2025-10-28T12:44:51-04:00,/vehicles/1815,CR-Providence,route,,Base-772770-840,trip,NEC-1969-04,stop
y2113,vehicle,,[],STOPPED_AT,7.0,0.0,2113,42.368462,-71.101647,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:01-04:00,/vehicles/y2113,64,route,,71694365,trip,2442,stop
R-5486314F,vehicle,275.0,"[{'label': '1830', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1831', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1820', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1821', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1884', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '1885', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",STOPPED_AT,160.0,1.0,1830,42.36126,-71.07162,,REVENUE,,2025-10-28T12:44:17-04:00,/vehicles/R-5486314F,Red,route,,70954032,trip,70074,stop
O-548636AA,vehicle,150.0,"[{'label': '1404', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 18}, {'label': '1405', 'occupancy_status': 'MANY_SEATS_AVAILABLE', 'occupancy_percentage': 5}, {'label': '1521', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 10}, {'label': '1520', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 13}, {'label': '1411', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 13}, {'label': '1410', 'occupancy_status': 'FEW_SEATS_AVAILABLE', 'occupancy_percentage': 12}]",INCOMING_AT,70.0,0.0,1404,42.36424,-71.0592,,REVENUE,,2025-10-28T12:44:53-04:00,/vehicles/O-548636AA,Orange,route,,70525427,trip,70024,stop
y2064,vehicle,36.0,[],IN_TRANSIT_TO,21.0,0.0,2064,42.366659,-71.125426,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y2064,86,route,,71695788,trip,2564,stop
